Date,Data
2000-01-01,2.20386
2000-02-01,2.38314
2000-03-01,2.47027
2000-04-01,2.28102
2000-05-01,2.45902
2000-06-01,2.73224
2000-07-01,2.63397
2000-08-01,2.63158
2000-09-01,2.62681
2000-10-01,2.61733
2000-11-01,2.7027
2000-12-01,2.70027
2001-01-01,2.96496
2001-02-01,2.95434
2001-03-01,2.76786
2001-04-01,3.12221
2001-05-01,3.02222
2001-06-01,3.01418
2001-07-01,2.92035
2001-08-01,2.82936
2001-09-01,2.64784
2001-10-01,2.46262
2001-11-01,2.36842
2001-12-01,2.36635
2002-01-01,2.35602
2002-02-01,2.34783
2002-03-01,2.51955
2002-04-01,2.33564
2002-05-01,2.32959
2002-06-01,2.15146
2002-07-01,2.2356
2002-08-01,2.40757
2002-09-01,2.57954
2002-10-01,2.66094
2002-11-01,2.82776
2002-12-01,2.82534
2003-01-01,2.8133
2003-02-01,2.63382
2003-03-01,2.71186
2003-04-01,2.70499
2003-05-01,2.69815
2003-06-01,2.69587
2003-07-01,2.69134
2003-08-01,2.77078
2003-09-01,2.76614
2003-10-01,2.59197
2003-11-01,2.5
2003-12-01,2.49792
2004-01-01,2.23881
2004-02-01,2.31788
2004-03-01,2.31023
2004-04-01,2.30453
2004-05-01,2.29885
2004-06-01,2.379
2004-07-01,2.2932
2004-08-01,2.28758
2004-09-01,2.12072
2004-10-01,2.03749
2004-11-01,1.86992
2004-12-01,2.03087
2005-01-01,1.86537
2005-02-01,1.94175
2005-03-01,1.93548
2005-04-01,1.85036
2005-05-01,1.92616
2005-06-01,1.76282
2005-07-01,2.08167
2005-08-01,1.99681
2005-09-01,1.99681
2005-10-01,2.23642
2005-11-01,2.23464
2005-12-01,1.99045
2006-01-01,2.2293
2006-02-01,2.14286
2006-03-01,2.05696
2006-04-01,2.21169
2006-05-01,2.20472
2006-06-01,2.28347
2006-07-01,2.19608
2006-08-01,2.19264
2006-09-01,2.11433
2006-10-01,1.79688
2006-11-01,1.79547
2006-12-01,1.87354
2007-01-01,1.7134
2007-02-01,1.7871
2007-03-01,1.70543
2007-04-01,1.5456
2007-05-01,1.54083
2007-06-01,1.69361
2007-07-01,1.61167
2007-08-01,1.6092
2007-09-01,1.68712
2007-10-01,2.07214
2007-11-01,2.3773
2007-12-01,2.60536
2008-01-01,2.98622
2008-02-01,2.90076
2008-03-01,3.27744
2008-04-01,3.34855
2008-05-01,3.56601
2008-06-01,3.78501
2008-07-01,4.07855
2008-08-01,4.0724
2008-09-01,3.77074
2008-10-01,3.45865
2008-11-01,2.69663
2008-12-01,2.24048
2009-01-01,1.63569
2009-02-01,1.63205
2009-03-01,1.18081
2009-04-01,1.1782
2009-05-01,0.87912
2009-06-01,0.51058
2009-07-01,0.0
2009-08-01,0.14493
2009-09-01,0.21802
2009-10-01,0.2907
2009-11-01,0.65646
2009-12-01,1.02264
2010-01-01,1.31675
2010-02-01,1.16788
2010-03-01,1.38585
2010-04-01,1.52838
2010-05-01,1.37981
2010-06-01,1.30624
2010-07-01,1.66909
2010-08-01,1.5919
2010-09-01,1.59536
2010-10-01,1.73913
2010-11-01,1.73913
2010-12-01,1.87997
2011-01-01,2.14989
2011-02-01,2.37879
2011-03-01,2.48648
2011-04-01,2.62022
2011-05-01,2.64685
2011-06-01,2.74699
2011-07-01,2.67966
2011-08-01,2.75897
2011-09-01,2.97902
2011-10-01,3.35641
2011-11-01,3.25684
2011-12-01,3.2873
2012-01-01,3.16206
2012-02-01,3.25123
2012-03-01,3.33661
2012-04-01,3.32031
2012-05-01,3.21951
2012-06-01,3.31384
2012-07-01,3.10982
2012-08-01,3.19768
2012-09-01,3.19768
2012-10-01,2.60116
2012-11-01,2.50723
2012-12-01,2.30548
2013-01-01,2.20307
2013-02-01,1.9084
2013-03-01,1.61444
2013-04-01,1.13422
2013-05-01,1.13422
2013-06-01,1.22642
2013-07-01,1.22526
2013-08-01,1.22066
2013-09-01,0.93897
2013-10-01,0.75117
2013-11-01,0.65851
2013-12-01,0.65728
2014-01-01,0.65605
2014-02-01,0.46816
2014-03-01,0.37383
2014-04-01,0.56075
2014-05-01,0.46729
2014-06-01,0.27959
2014-07-01,0.09311
2014-08-01,-0.09276
2014-09-01,-0.18605
2014-10-01,0.0932
2014-11-01,0.18692
2014-12-01,0.0
2015-01-01,-0.55866
2015-02-01,-0.0932
2015-03-01,-0.09311
2015-04-01,-0.09294
2015-05-01,0.09302
2015-06-01,0.18587
2015-07-01,0.18605
2015-08-01,0.1857
2015-09-01,0.18639
2015-10-01,0.27933
2015-11-01,0.09328
2015-12-01,0.09328
2016-01-01,0.25281
2016-02-01,-0.32183
2016-03-01,-0.21435
2016-04-01,-0.5
2016-05-01,-0.29275
2016-06-01,-0.37801
2016-07-01,-0.08589
2016-08-01,-0.07183
2016-09-01,0.1
2016-10-01,-0.1857
2016-11-01,0.08621
2016-12-01,0.48695
2017-01-01,1.00402
2017-02-01,1.60966
2017-03-01,1.40562
2017-04-01,1.90955
2017-05-01,1.40281
2017-06-01,1.2012
2017-07-01,1.0989
2017-08-01,1.19641
2017-09-01,1.0989
2017-10-01,1.0
2017-11-01,0.9009
2017-12-01,0.89731
2018-01-01,0.89463
2018-02-01,0.49505
2018-03-01,0.79208
2018-04-01,0.4931
2018-05-01,0.98814
2018-06-01,1.28586
2018-07-01,1.48221
2018-08-01,1.57636
2018-09-01,1.3834
2018-10-01,1.58416
2018-11-01,1.5873
2018-12-01,1.08696
2019-01-01,0.8867
2019-02-01,0.98522
2019-03-01,0.98232
2019-04-01,1.07949
2019-05-01,0.78278
2019-06-01,0.68359
2019-07-01,0.38948
2019-08-01,0.38797
2019-09-01,0.2924
2019-10-01,0.19493
2019-11-01,0.19531
2019-12-01,0.48876
2020-01-01,0.48828
2020-02-01,0.29268
2020-03-01,0.09728
2020-04-01,0.0
2020-05-01,-0.19417
2020-06-01,-0.19399
2020-07-01,-0.38797
2020-08-01,-0.48309
2020-09-01,-0.58309
2020-10-01,-0.29183
2020-11-01,-0.19493
2020-12-01,-0.19455
2021-01-01,0.38873
2021-02-01,0.58366
2021-03-01,0.77745
2021-04-01,1.06796
2021-05-01,1.26459
2021-06-01,1.26336
2021-07-01,1.94742
2021-08-01,2.03884
2021-09-01,2.54154
2021-10-01,3.02439
2021-11-01,3.71094
2021-12-01,3.89864
2022-01-01,4.84027
2022-02-01,5.706
2022-03-01,6.46095
2022-04-01,5.95581
2022-05-01,6.82037
2022-06-01,7.96545
2022-07-01,7.92741
2022-08-01,8.37298
2022-09-01,8.86559
2022-10-01,11.83712
2022-11-01,11.77024
2022-12-01,11.63227
