Date,Data
2000-01-01,1.79931
2000-02-01,1.91434
2000-03-01,1.93883
2000-04-01,1.88011
2000-05-01,2.17924
2000-06-01,2.46103
2000-07-01,2.31317
2000-08-01,2.20528
2000-09-01,2.96748
2000-10-01,3.05984
2000-11-01,2.92089
2000-12-01,2.65943
2001-01-01,3.75255
2001-02-01,4.02703
2001-03-01,4.07179
2001-04-01,4.47981
2001-05-01,4.49214
2001-06-01,4.20336
2001-07-01,4.32107
2001-08-01,4.2488
2001-09-01,4.26372
2001-10-01,3.98056
2001-11-01,3.86283
2001-12-01,4.16336
2002-01-01,4.02306
2002-02-01,3.67628
2002-03-01,3.62934
2002-04-01,3.54537
2002-05-01,3.22745
2002-06-01,3.27827
2002-07-01,3.28289
2002-08-01,3.24518
2002-09-01,3.10489
2002-10-01,2.95641
2002-11-01,2.78305
2002-12-01,2.74077
2003-01-01,2.35576
2003-02-01,2.43077
2003-03-01,2.49627
2003-04-01,2.11372
2003-05-01,2.01434
2003-06-01,1.88469
2003-07-01,2.11075
2003-08-01,2.09133
2003-09-01,1.98311
2003-10-01,1.95116
2003-11-01,1.99385
2003-12-01,1.69199
2004-01-01,1.35385
2004-02-01,1.18654
2004-03-01,1.10263
2004-04-01,1.33156
2004-05-01,1.5748
2004-06-01,1.38737
2004-07-01,1.15516
2004-08-01,1.17576
2004-09-01,1.0683
2004-10-01,1.38421
2004-11-01,1.33945
2004-12-01,1.10517
2005-01-01,1.49363
2005-02-01,1.66828
2005-03-01,1.72579
2005-04-01,1.57687
2005-05-01,1.34765
2005-06-01,1.66847
2005-07-01,1.65885
2005-08-01,1.78507
2005-09-01,1.8171
2005-10-01,1.69773
2005-11-01,1.73851
2005-12-01,2.07808
2006-01-01,1.3161
2006-02-01,1.08205
2006-03-01,0.94251
2006-04-01,1.2231
2006-05-01,1.3768
2006-06-01,1.34593
2006-07-01,1.31252
2006-08-01,1.37712
2006-09-01,0.85151
2006-10-01,0.6771
2006-11-01,0.77247
2006-12-01,0.95317
2007-01-01,1.42891
2007-02-01,1.49394
2007-03-01,1.79739
2007-04-01,1.8241
2007-05-01,1.79919
2007-06-01,1.74744
2007-07-01,1.45892
2007-08-01,1.10298
2007-09-01,1.30696
2007-10-01,1.61178
2007-11-01,1.92799
2007-12-01,1.86502
2008-01-01,2.02585
2008-02-01,2.24849
2008-03-01,2.144
2008-04-01,2.03104
2008-05-01,2.32611
2008-06-01,2.56469
2008-07-01,3.20948
2008-08-01,3.22692
2008-09-01,3.07113
2008-10-01,2.78444
2008-11-01,2.25615
2008-12-01,1.9453
2009-01-01,1.92856
2009-02-01,1.96101
2009-03-01,1.97553
2009-04-01,1.82286
2009-05-01,1.59349
2009-06-01,1.41773
2009-07-01,0.18948
2009-08-01,0.27812
2009-09-01,0.37661
2009-10-01,0.69946
2009-11-01,0.96947
2009-12-01,1.11124
2010-01-01,0.81729
2010-02-01,0.82268
2010-03-01,1.01266
2010-04-01,1.13125
2010-05-01,0.95426
2010-06-01,0.82554
2010-07-01,1.61308
2010-08-01,1.48658
2010-09-01,1.57802
2010-10-01,1.57663
2010-11-01,1.55612
2010-12-01,1.93162
2011-01-01,1.85453
2011-02-01,1.89657
2011-03-01,1.84156
2011-04-01,2.0417
2011-05-01,2.1621
2011-06-01,2.15066
2011-07-01,2.95599
2011-08-01,2.9624
2011-09-01,2.69419
2011-10-01,2.64843
2011-11-01,2.45599
2011-12-01,2.41777
2012-01-01,2.47492
2012-02-01,2.47809
2012-03-01,2.48235
2012-04-01,2.35207
2012-05-01,2.12698
2012-06-01,2.13744
2012-07-01,2.2969
2012-08-01,2.26139
2012-09-01,2.31673
2012-10-01,2.87618
2012-11-01,2.76835
2012-12-01,2.89239
2013-01-01,2.9684
2013-02-01,2.99894
2013-03-01,2.92337
2013-04-01,2.59956
2013-05-01,2.76997
2013-06-01,2.87747
2013-07-01,3.06653
2013-08-01,2.81354
2013-09-01,2.44003
2013-10-01,1.55206
2013-11-01,1.46558
2013-12-01,1.65358
2014-01-01,1.41558
2014-02-01,1.05598
2014-03-01,0.82167
2014-04-01,1.19591
2014-05-01,0.83088
2014-06-01,0.93572
2014-07-01,0.90772
2014-08-01,0.95931
2014-09-01,0.88817
2014-10-01,1.05263
2014-11-01,0.95616
2014-12-01,0.7015
2015-01-01,0.0
2015-02-01,0.12174
2015-03-01,0.36221
2015-04-01,0.54081
2015-05-01,1.10542
2015-06-01,0.99758
2015-07-01,0.94953
2015-08-01,0.71014
2015-09-01,0.54022
2015-10-01,0.57091
2015-11-01,0.60453
2015-12-01,0.68652
2016-01-01,0.57056
2016-02-01,0.6181
2016-03-01,0.5614
2016-04-01,0.00996
2016-05-01,-0.02982
2016-06-01,0.02993
2016-07-01,-0.23762
2016-08-01,0.1887
2016-09-01,0.06965
2016-10-01,0.41829
2016-11-01,0.64096
2016-12-01,0.98265
2017-01-01,1.66143
2017-02-01,1.80262
2017-03-01,1.12651
2017-04-01,1.57371
2017-05-01,1.06383
2017-06-01,1.10712
2017-07-01,1.33982
2017-08-01,1.37788
2017-09-01,1.45173
2017-10-01,1.32897
2017-11-01,1.50264
2017-12-01,1.25112
2018-01-01,1.46487
2018-02-01,1.20685
2018-03-01,1.01538
2018-04-01,1.10806
2018-05-01,1.74127
2018-06-01,1.70662
2018-07-01,2.12516
2018-08-01,2.08272
2018-09-01,1.8818
2018-10-01,2.10434
2018-11-01,2.02941
2018-12-01,1.96136
2019-01-01,2.19014
2019-02-01,2.59994
2019-03-01,2.8301
2019-04-01,2.88042
2019-05-01,2.43667
2019-06-01,2.65761
2019-07-01,2.51247
2019-08-01,2.84483
2019-09-01,2.6455
2019-10-01,2.72239
2019-11-01,2.55597
2019-12-01,2.72194
2020-01-01,1.84527
2020-02-01,1.59093
2020-03-01,1.40457
2020-04-01,1.18778
2020-05-01,1.17047
2020-06-01,1.57785
2020-07-01,1.67446
2020-08-01,0.70783
2020-09-01,1.1059
2020-10-01,1.22247
2020-11-01,0.82451
2020-12-01,0.98315
2021-01-01,1.55705
2021-02-01,1.80983
2021-03-01,1.8905
2021-04-01,1.88187
2021-05-01,2.12726
2021-06-01,2.00912
2021-07-01,1.41687
2021-08-01,2.38602
2021-09-01,2.69744
2021-10-01,3.4203
2021-11-01,5.16681
2021-12-01,5.71164
2022-01-01,6.42074
2022-02-01,6.17113
2022-03-01,9.7272
2022-04-01,9.5556
2022-05-01,8.76119
2022-06-01,8.55293
2022-07-01,10.28758
2022-08-01,11.95917
2022-09-01,14.532
2022-10-01,14.32519
2022-11-01,9.87894
2022-12-01,9.58688
