Date,Data
2000-01-01,2.87824
2000-02-01,2.96282
2000-03-01,2.9172
2000-04-01,2.9643
2000-05-01,3.13872
2000-06-01,3.4288
2000-07-01,3.60805
2000-08-01,3.60139
2000-09-01,3.66973
2000-10-01,3.97384
2000-11-01,4.06533
2000-12-01,3.95666
2001-01-01,3.65234
2001-02-01,3.8458
2001-03-01,3.87157
2001-04-01,3.97867
2001-05-01,4.19871
2001-06-01,4.2343
2001-07-01,3.85927
2001-08-01,3.6756
2001-09-01,3.39464
2001-10-01,3.02317
2001-11-01,2.69062
2001-12-01,2.70759
2002-01-01,2.53033
2002-02-01,2.283
2002-03-01,2.69541
2002-04-01,3.55252
2002-05-01,3.5337
2002-06-01,3.19034
2002-07-01,2.22382
2002-08-01,2.26918
2002-09-01,2.66538
2002-10-01,3.79122
2002-11-01,4.02879
2002-12-01,3.99756
2003-01-01,3.71207
2003-02-01,3.84251
2003-03-01,3.70555
2003-04-01,3.14829
2003-05-01,2.68305
2003-06-01,2.74738
2003-07-01,2.81595
2003-08-01,2.9936
2003-09-01,2.91517
2003-10-01,2.59236
2003-11-01,2.7685
2003-12-01,2.60327
2004-01-01,2.30478
2004-02-01,2.13523
2004-03-01,2.13977
2004-04-01,2.70322
2004-05-01,3.40433
2004-06-01,3.49887
2004-07-01,3.36178
2004-08-01,3.34367
2004-09-01,3.22071
2004-10-01,3.58331
2004-11-01,3.5056
2004-12-01,3.22772
2005-01-01,3.08107
2005-02-01,3.3005
2005-03-01,3.39603
2005-04-01,3.46828
2005-05-01,3.05869
2005-06-01,3.13554
2005-07-01,3.28829
2005-08-01,3.28571
2005-09-01,3.73503
2005-10-01,3.5142
2005-11-01,3.41162
2005-12-01,3.73572
2006-01-01,4.1922
2006-02-01,3.97282
2006-03-01,3.887
2006-04-01,3.85617
2006-05-01,4.03191
2006-06-01,3.94717
2006-07-01,3.96504
2006-08-01,3.72119
2006-09-01,2.91885
2006-10-01,2.50801
2006-11-01,2.60625
2006-12-01,2.66601
2007-01-01,2.39165
2007-02-01,2.41195
2007-03-01,2.46389
2007-04-01,2.43457
2007-05-01,2.34705
2007-06-01,2.38037
2007-07-01,2.24255
2007-08-01,2.17507
2007-09-01,2.67912
2007-10-01,3.58505
2007-11-01,4.06973
2007-12-01,4.22023
2008-01-01,4.27591
2008-02-01,4.36786
2008-03-01,4.50122
2008-04-01,4.18666
2008-05-01,4.60208
2008-06-01,5.01134
2008-07-01,5.27423
2008-08-01,4.90352
2008-09-01,4.53845
2008-10-01,3.55603
2008-11-01,2.38292
2008-12-01,1.43319
2009-01-01,0.80735
2009-02-01,0.66092
2009-03-01,-0.06083
2009-04-01,-0.15972
2009-05-01,-0.86337
2009-06-01,-0.99673
2009-07-01,-1.36908
2009-08-01,-0.81147
2009-09-01,-1.02463
2009-10-01,-0.66085
2009-11-01,0.30303
2009-12-01,0.79449
2010-01-01,1.02837
2010-02-01,0.83363
2010-03-01,1.41519
2010-04-01,1.50468
2010-05-01,1.76497
2010-06-01,1.49976
2010-07-01,1.9156
2010-08-01,1.81725
2010-09-01,2.12863
2010-10-01,2.33184
2010-11-01,2.33306
2010-12-01,2.98744
2011-01-01,3.26957
2011-02-01,3.58949
2011-03-01,3.59538
2011-04-01,3.77904
2011-05-01,3.51543
2011-06-01,3.18497
2011-07-01,3.09304
2011-08-01,2.96102
2011-09-01,3.14119
2011-10-01,3.01344
2011-11-01,2.87257
2011-12-01,2.37753
2012-01-01,1.99831
2012-02-01,1.97445
2012-03-01,1.89852
2012-04-01,2.06006
2012-05-01,1.94296
2012-06-01,1.89609
2012-07-01,2.20668
2012-08-01,2.65448
2012-09-01,3.41214
2012-10-01,3.47529
2012-11-01,2.92985
2012-12-01,2.86829
2013-01-01,2.68311
2013-02-01,2.75408
