Date,Data
2000-01-01,2.73889
2000-02-01,3.22188
2000-03-01,3.75758
2000-04-01,3.06859
2000-05-01,3.18893
2000-06-01,3.73045
2000-07-01,3.65927
2000-08-01,3.41113
2000-09-01,3.45444
2000-10-01,3.44828
2000-11-01,3.44623
2000-12-01,3.38681
2001-01-01,3.73223
2001-02-01,3.53357
2001-03-01,2.92056
2001-04-01,3.26912
2001-05-01,3.61516
2001-06-01,3.24826
2001-07-01,2.71991
2001-08-01,2.71991
2001-09-01,2.64824
2001-10-01,2.12644
2001-11-01,1.89546
2001-12-01,1.55172
2002-01-01,1.1422
2002-02-01,1.13766
2002-03-01,1.4756
2002-04-01,1.63934
2002-05-01,1.18177
2002-06-01,1.06742
2002-07-01,1.46479
2002-08-01,1.80282
2002-09-01,1.5143
2002-10-01,2.02589
2002-11-01,2.19842
2002-12-01,2.37691
2003-01-01,2.5974
2003-02-01,2.98088
2003-03-01,3.02013
2003-04-01,2.22469
2003-05-01,2.05784
2003-06-01,2.11229
2003-07-01,2.10994
2003-08-01,2.15827
2003-09-01,2.32044
2003-10-01,2.04082
2003-11-01,1.76503
2003-12-01,1.87949
2004-01-01,1.92625
2004-02-01,1.69306
2004-03-01,1.73724
2004-04-01,2.28509
2004-05-01,3.05177
2004-06-01,3.2662
2004-07-01,2.99076
2004-08-01,2.65439
2004-09-01,2.5378
2004-10-01,3.18919
2004-11-01,3.52304
2004-12-01,3.25556
2005-01-01,2.96976
2005-02-01,3.00752
2005-03-01,3.14835
2005-04-01,3.51064
2005-05-01,2.80275
2005-06-01,2.53031
2005-07-01,3.1679
2005-08-01,3.64116
2005-09-01,4.68668
2005-10-01,4.34783
2005-11-01,3.4555
2005-12-01,3.41566
2006-01-01,3.98532
2006-02-01,3.5975
2006-03-01,3.36265
2006-04-01,3.54574
2006-05-01,4.16667
2006-06-01,4.31877
2006-07-01,4.14534
2006-08-01,3.81874
2006-09-01,2.06237
2006-10-01,1.30522
2006-11-01,1.97368
2006-12-01,2.54065
2007-01-01,2.07564
2007-02-01,2.4152
2007-03-01,2.77878
2007-04-01,2.5737
2007-05-01,2.69086
2007-06-01,2.68704
2007-07-01,2.35823
2007-08-01,1.97008
2007-09-01,2.75505
2007-10-01,3.53618
2007-11-01,4.3062
2007-12-01,4.08127
2008-01-01,4.28029
2008-02-01,4.02656
2008-03-01,3.98146
2008-04-01,3.93689
2008-05-01,4.17554
2008-06-01,5.02179
2008-07-01,5.60012
2008-08-01,5.37186
2008-09-01,4.93693
2008-10-01,3.65519
2008-11-01,1.06958
2008-12-01,0.09141
2009-01-01,0.02985
2009-02-01,0.23619
2009-03-01,-0.38356
2009-04-01,-0.73689
2009-05-01,-1.28144
2009-06-01,-1.42678
2009-07-01,-2.09716
2009-08-01,-1.48435
2009-09-01,-1.28621
2009-10-01,-0.18285
2009-11-01,1.8383
2009-12-01,2.72133
2010-01-01,2.62571
2010-02-01,2.14333
2010-03-01,2.31396
2010-04-01,2.23645
2010-05-01,2.02099
2010-06-01,1.05335
2010-07-01,1.23519
2010-08-01,1.14811
2010-09-01,1.14368
2010-10-01,1.17219
2010-11-01,1.14316
2010-12-01,1.49572
2011-01-01,1.63185
2011-02-01,2.10759
2011-03-01,2.6816
2011-04-01,3.16363
2011-05-01,3.56865
2011-06-01,3.55883
2011-07-01,3.62872
2011-08-01,3.77121
2011-09-01,3.86836
2011-10-01,3.5252
2011-11-01,3.39438
2011-12-01,2.96242
2012-01-01,2.92522
2012-02-01,2.8711
2012-03-01,2.6514
2012-04-01,2.30274
2012-05-01,1.70425
2012-06-01,1.66399
2012-07-01,1.40845
2012-08-01,1.69238
2012-09-01,1.99128
2012-10-01,2.16234
2012-11-01,1.76413
2012-12-01,1.74102
2013-01-01,1.59487
2013-02-01,1.97792
2013-03-01,1.4739
2013-04-01,1.06309
2013-05-01,1.36197
2013-06-01,1.75442
2013-07-01,1.96068
2013-08-01,1.51837
2013-09-01,1.18493
2013-10-01,0.96361
2013-11-01,1.23707
2013-12-01,1.50174
2014-01-01,1.57895
2014-02-01,1.12635
2014-03-01,1.5122
2014-04-01,1.95286
2014-05-01,2.12711
2014-06-01,2.07234
2014-07-01,1.99233
2014-08-01,1.69961
2014-09-01,1.65792
2014-10-01,1.66434
2014-11-01,1.32236
2014-12-01,0.75649
2015-01-01,-0.08935
2015-02-01,-0.02513
2015-03-01,-0.07364
2015-04-01,-0.19952
2015-05-01,-0.03993
2015-06-01,0.12377
2015-07-01,0.16957
2015-08-01,0.19508
2015-09-01,-0.03613
2015-10-01,0.17057
2015-11-01,0.5018
2015-12-01,0.72952
2016-01-01,1.37309
2016-02-01,1.0178
2016-03-01,0.85254
2016-04-01,1.12511
2016-05-01,1.01932
2016-06-01,0.99733
2016-07-01,0.82714
2016-08-01,1.06288
2016-09-01,1.46378
2016-10-01,1.63599
2016-11-01,1.69254
2016-12-01,2.07462
2017-01-01,2.50004
2017-02-01,2.73796
2017-03-01,2.38061
2017-04-01,2.19969
2017-05-01,1.87488
2017-06-01,1.63349
2017-07-01,1.72798
2017-08-01,1.93897
2017-09-01,2.23296
2017-10-01,2.04113
2017-11-01,2.20258
2017-12-01,2.10908
2018-01-01,2.07051
2018-02-01,2.2118
2018-03-01,2.35971
2018-04-01,2.46274
2018-05-01,2.80101
2018-06-01,2.87155
2018-07-01,2.94952
2018-08-01,2.69918
2018-09-01,2.27697
2018-10-01,2.52247
2018-11-01,2.1766
2018-12-01,1.91016
2019-01-01,1.55124
2019-02-01,1.52014
2019-03-01,1.86252
2019-04-01,1.99644
2019-05-01,1.79023
2019-06-01,1.64849
2019-07-01,1.81147
2019-08-01,1.74978
2019-09-01,1.71131
2019-10-01,1.76404
2019-11-01,2.05128
2019-12-01,2.28513
2020-01-01,2.48657
2020-02-01,2.33487
2020-03-01,1.53933
2020-04-01,0.3291
2020-05-01,0.11793
2020-06-01,0.64573
2020-07-01,0.98608
2020-08-01,1.30965
2020-09-01,1.37133
2020-10-01,1.18207
2020-11-01,1.17454
2020-12-01,1.36201
2021-01-01,1.39977
2021-02-01,1.67622
2021-03-01,2.61976
2021-04-01,4.1597
2021-05-01,4.99271
2021-06-01,5.39145
